Learning Rate,Epoch,Loss,Validation Loss
0.005,27,9988.4833984375,13246.27734375
0.005,28,8070.04052734375,14781.2783203125
0.005,29,8341.6484375,12665.9931640625
0.005,30,9002.1572265625,16133.767578125
0.005,31,9284.5341796875,13212.8486328125
0.005,32,7041.85107421875,10560.2060546875
0.005,33,6796.14990234375,12878.8740234375
0.005,34,9640.1337890625,16719.880859375
0.005,35,10250.8916015625,13688.65234375
0.005,36,7053.00048828125,10009.0048828125
0.005,37,5133.30322265625,8761.7958984375
0.005,38,4992.89111328125,8914.9833984375
0.005,39,6001.396484375,12337.498046875
0.005,40,6089.80517578125,15248.47265625
0.005,41,7254.69287109375,10762.583984375
0.005,42,5355.31787109375,12222.0947265625
0.005,43,5829.36962890625,11835.2626953125
0.005,44,5477.22607421875,12946.8330078125
0.005,45,5087.435546875,9705.662109375
0.005,46,6066.00732421875,10570.4072265625
0.005,47,5114.177734375,9309.666015625
0.005,48,5536.82666015625,9779.9306640625
0.005,49,4087.363037109375,9778.693359375
0.005,50,4899.3515625,9451.6484375
0.005,51,4885.54150390625,8747.931640625
0.005,52,3731.31494140625,10529.017578125
0.005,53,5031.455078125,15588.6474609375
0.005,54,5666.04248046875,9599.09765625
0.005,55,4064.272216796875,10210.705078125
0.005,56,3851.654296875,8265.1376953125
0.005,57,3406.797607421875,11556.75390625
0.005,58,4144.3330078125,8911.8203125
0.005,59,4552.23828125,10742.044921875
0.005,60,3953.857177734375,8720.0537109375
0.005,61,4316.07373046875,9266.3818359375
0.005,62,3502.758544921875,9932.599609375
0.005,63,2952.154296875,10289.46875
0.005,64,3911.8798828125,9030.623046875
0.005,65,3641.970458984375,9683.37109375
0.005,66,3657.77392578125,8111.453125
0.005,67,2943.032470703125,9696.6533203125
0.005,68,4098.20751953125,9096.501953125
0.005,69,4588.3798828125,10461.2626953125
0.005,70,3117.75390625,8470.50390625
0.005,71,2678.160888671875,7906.35693359375
0.005,72,2944.603515625,9418.947265625
0.005,73,3366.379638671875,11540.232421875
0.005,74,3429.22509765625,9552.0341796875
0.005,75,2749.833251953125,8141.03076171875
0.005,76,2637.724365234375,8495.8310546875
0.005,77,3155.8671875,9571.1904296875
0.005,78,3256.236572265625,8346.0478515625
0.005,79,2722.60400390625,8170.0126953125
0.005,80,3498.129150390625,11880.498046875
0.005,81,6733.9375,11409.2880859375
0.005,82,3117.928466796875,7738.60693359375
0.005,83,2196.146728515625,8279.8916015625
0.005,84,1836.2620849609375,8067.15380859375
0.005,85,2212.313720703125,9023.890625
0.005,86,2209.1318359375,8803.0791015625
0.005,87,3195.37841796875,8530.5654296875
0.005,88,3549.900146484375,9439.4072265625
0.005,89,3204.5498046875,8272.4853515625
0.005,90,2228.78662109375,7543.38623046875
0.005,91,1669.8199462890625,7960.27294921875
0.005,92,1798.60986328125,11182.724609375
0.005,93,4132.51318359375,9207.8349609375
0.005,94,3253.536376953125,7935.0302734375
0.005,95,2135.313232421875,8219.44921875
0.005,96,2110.73876953125,8673.27734375
0.005,97,3319.822265625,9230.4375
0.005,98,2370.25244140625,7868.107421875
0.005,99,2990.50244140625,8890.7001953125
0.005,100,1913.829345703125,7715.0419921875
0.01,1,230081.359375,157042.359375
0.01,2,170827.09375,156948.5625
0.01,3,171839.53125,161559.4375
0.01,4,170651.4375,164476.390625
0.01,5,171895.453125,156989.1875
0.01,6,171957.40625,159430.390625
0.01,7,171038.1875,158258.5625
0.01,8,170823.375,158900.34375
0.01,9,173436.734375,156946.859375
0.01,10,170955.1875,156987.84375
0.01,11,170505.15625,162762.328125
0.01,12,170515.890625,162809.609375
0.01,13,170456.65625,158298.65625
0.01,14,170157.75,160578.765625
0.01,15,170236.875,159291.390625
0.01,16,170802.84375,157306.640625
0.01,17,169917.5625,156978.6875
0.01,18,169943.28125,157957.546875
0.01,19,170505.1875,157430.796875
0.01,20,169964.015625,158605.265625
0.01,21,170223.125,157394.5625
0.01,22,170101.125,163123.484375
0.01,23,170407.765625,157007.96875
0.01,24,169841.0625,156959.015625
0.01,25,169996.953125,157279.234375
0.01,26,170192.578125,156947.390625
0.01,27,168994.703125,160601.375
0.01,28,169621.796875,166016.71875
0.01,29,169838.0625,158261.953125
0.01,30,169774.359375,159292.765625
0.01,31,169292.96875,157129.25
0.01,32,169339.421875,159256.546875
0.01,33,169747.578125,157239.15625
0.01,34,169877.21875,157169.5
0.01,35,169938.65625,157383.875
0.01,36,170290.75,157300.578125
0.01,37,169612.96875,158780.375
0.01,38,169739.046875,162214.203125
0.01,39,169761.84375,159298.515625
0.01,40,169015.921875,161679.484375
0.01,41,169613.4375,161089.84375
0.01,42,169286.890625,157436.90625
0.01,43,169393.09375,157634.375
0.01,44,169074.28125,161972.9375
0.01,45,169673.796875,157907.5
0.01,46,169353.8125,157924.09375
0.01,47,170057.671875,157198.328125
0.01,48,169264.109375,158160.3125
0.01,49,169847.59375,160930.015625
0.01,50,169392.015625,157748.328125
0.01,51,170000.828125,157582.203125
0.01,52,169892.71875,161452.890625
0.01,53,169567.15625,158115.484375
0.01,54,169589.125,157433.625
0.01,55,169490.859375,157889.109375
0.01,56,169394.765625,158215.796875
0.01,57,169000.015625,157382.28125
0.01,58,169020.34375,159468.265625
0.01,59,170049.03125,159810.515625
0.01,60,169490.515625,158595.078125
0.01,61,169320.546875,158320.40625
0.01,62,169347.234375,160672.171875
0.01,63,169171.765625,156947.546875
0.01,64,169551.453125,157078.125
0.01,65,168992.0,158857.78125
0.01,66,169465.296875,157255.703125
0.01,67,169222.34375,160428.734375
0.01,68,169133.3125,157912.21875
0.01,69,169231.625,158353.515625
0.01,70,168879.3125,158566.171875
0.01,71,169135.4375,157887.5625
0.01,72,169178.578125,156969.5
0.01,73,169284.640625,158408.25
0.01,74,169015.109375,159526.84375
0.01,75,169175.078125,157097.703125
0.01,76,168826.578125,158200.390625
0.01,77,168944.421875,159463.171875
0.01,78,169177.421875,157504.546875
0.01,79,169067.609375,161823.140625
0.01,80,168938.828125,157014.90625
